"Prc","Bed","floor","TotFloor","Bath","Sqft","City","Comp","Dist"
596,4,2,4,1,1298,"Blossomville","Rentopia",5.5
1600,3,3,10,2,622,"Blossomville","Rentopia",3.3
2500,1,7,7,1,721,"Terranova","Rentopia",1.2
2350,2,1,2,1,2442,"Riverport","Leaseflow",7.3
763,3,2,3,1,585,"Terranova","Rentopia",9.5
3030,1,2,2,1,1161,"Riverport","Rentopia",1.4
1840,1,4,8,1,1156,"Terranova","Leaseflow",2.7
2520,4,3,5,2,1793,"Riverport","Rentopia",0.5
3880,1,1,2,2,1473,"Terranova","Leaseflow",2.5
919,2,1,3,1,1246,"Riverport","Leaseflow",8.8
1120,4,1,2,1,1164,"Riverport","Rentopia",5.8
5640,1,2,4,4,1353,"Riverport","Leaseflow",9.5
1970,3,1,2,2,1946,"Blossomville","Rentopia",1.2
5800,1,1,2,4,849,"Blossomville","Leaseflow",0.9
1300,2,3,7,1,1496,"Blossomville","Rentopia",8.4
2680,1,2,3,1,2449,"Riverport","Leaseflow",7.5
2650,1,2,5,1,779,"Blossomville","Leaseflow",1.7
2770,3,3,5,1,2780,"Riverport","Rentopia",9.9
2280,1,3,5,1,662,"Blossomville","Leaseflow",1.5
2610,1,1,3,2,643,"Terranova","Leaseflow",3.6
1590,3,1,2,4,852,"Riverport","Rentopia",5.2
2280,2,1,2,1,644,"Riverport","Rentopia",6.3
2100,3,1,1,3,2303,"Blossomville","Leaseflow",3.6
1740,1,1,3,1,672,"Terranova","Rentopia",7.7
1430,2,1,5,1,894,"Terranova","Rentopia",3.2
1230,2,1,1,1,658,"Riverport","Leaseflow",6.5
1370,1,3,4,1,1136,"Terranova","Leaseflow",1.5
1700,3,3,4,1,1319,"Blossomville","Leaseflow",2.2
2000,2,4,4,1,1344,"Riverport","Rentopia",5.3
1880,4,2,3,1,1505,"Terranova","Rentopia",0.1
3610,1,1,2,1,2668,"Blossomville","Rentopia",2.9
3540,1,1,2,1,1846,"Riverport","Rentopia",1.3
2850,2,3,4,2,546,"Riverport","Rentopia",1.6
2940,1,3,4,1,719,"Terranova","Rentopia",1.8
3140,1,1,3,1,2452,"Blossomville","Rentopia",2
1780,2,1,4,3,624,"Terranova","Leaseflow",5.3
2610,1,1,2,1,663,"Terranova","Rentopia",2.8
2420,1,3,4,1,1918,"Blossomville","Leaseflow",7.9
531,4,1,3,1,1567,"Blossomville","Rentopia",9.9
3060,2,1,5,3,1031,"Riverport","Leaseflow",3.6
3500,1,1,4,2,2274,"Riverport","Rentopia",4.7
2290,4,4,5,1,1383,"Riverport","Leaseflow",0.2
2140,4,1,2,1,783,"Blossomville","Leaseflow",2.3
4230,1,1,4,4,1884,"Terranova","Rentopia",5.1
2150,3,4,4,1,735,"Terranova","Rentopia",2.2
1860,1,3,7,1,525,"Blossomville","Rentopia",1.6
2030,4,3,4,1,989,"Riverport","Rentopia",1.7
1950,4,1,1,2,857,"Blossomville","Rentopia",1.2
2110,1,3,9,1,2734,"Blossomville","Rentopia",8
1470,2,1,3,1,1026,"Terranova","Rentopia",3.3
767,1,2,6,1,630,"Blossomville","Leaseflow",9.7
6840,1,1,2,4,1236,"Blossomville","Leaseflow",4.6
3830,1,1,2,3,653,"Blossomville","Leaseflow",3.1
2200,2,1,6,1,1385,"Riverport","Rentopia",3.1
3120,2,1,3,2,1228,"Blossomville","Rentopia",3.4
2700,2,2,4,4,1157,"Blossomville","Leaseflow",1.3
3090,1,1,3,2,1428,"Blossomville","Rentopia",1.3
1700,1,3,4,4,683,"Riverport","Rentopia",5
1590,3,2,6,1,2307,"Terranova","Leaseflow",1.7
2720,1,1,2,2,1445,"Riverport","Leaseflow",2.4
908,4,2,4,1,592,"Terranova","Rentopia",3.7
2970,1,4,4,1,1986,"Riverport","Rentopia",2.8
2530,1,3,3,1,618,"Terranova","Rentopia",5.2
2180,1,1,7,1,2129,"Blossomville","Rentopia",7
1590,2,1,1,1,2104,"Terranova","Leaseflow",5.5
1880,2,1,1,1,1550,"Blossomville","Rentopia",6.1
1760,1,1,2,4,1659,"Blossomville","Leaseflow",10.3
1360,4,2,3,2,1519,"Blossomville","Leaseflow",4.5
3170,1,2,5,1,1224,"Terranova","Leaseflow",0.8
1130,3,3,3,1,1712,"Blossomville","Rentopia",9.6
1910,2,2,2,1,2147,"Riverport","Rentopia",6.7
1230,4,2,3,1,560,"Terranova","Leaseflow",4.6
2150,4,1,3,1,1369,"Riverport","Leaseflow",4.8
1650,3,3,4,1,2265,"Riverport","Rentopia",4.2
4390,1,1,4,3,1916,"Blossomville","Rentopia",1.3
2230,1,5,5,1,649,"Terranova","Leaseflow",1.1
2940,1,5,5,1,620,"Riverport","Rentopia",2.9
1430,2,9,10,4,655,"Terranova","Rentopia",2.3
1830,4,1,1,1,675,"Riverport","Leaseflow",0.8
5190,1,2,3,4,1712,"Riverport","Rentopia",4.4
1790,3,1,1,2,631,"Blossomville","Rentopia",2.1
2040,1,2,6,1,1426,"Riverport","Rentopia",3.5
3230,1,1,2,2,1462,"Riverport","Leaseflow",5.9
2290,1,2,5,1,1402,"Blossomville","Rentopia",2.8
1710,3,3,5,1,1512,"Riverport","Rentopia",4.8
784,3,1,2,1,1759,"Blossomville","Leaseflow",12.3
1700,1,2,4,1,2545,"Terranova","Leaseflow",7.7
1030,1,2,4,1,2028,"Riverport","Rentopia",5.2
1090,3,1,3,1,2090,"Blossomville","Leaseflow",6.5
1180,4,1,1,2,636,"Riverport","Leaseflow",8.3
1730,1,2,3,1,1713,"Terranova","Rentopia",6
1420,4,1,2,2,641,"Terranova","Leaseflow",1.3
2880,1,5,5,3,1757,"Blossomville","Rentopia",14.2
3680,1,5,5,1,2204,"Terranova","Leaseflow",8.2
1470,3,5,5,1,1902,"Blossomville","Leaseflow",4.1
2360,4,1,4,3,545,"Riverport","Rentopia",3.9
2750,2,2,6,1,1131,"Riverport","Rentopia",1.6
1930,3,2,4,1,655,"Riverport","Rentopia",4.5
511,4,5,9,1,1304,"Riverport","Rentopia",17
5050,1,1,2,3,1572,"Blossomville","Rentopia",4
2790,2,3,3,4,1087,"Blossomville","Leaseflow",5.9
4010,1,4,5,2,902,"Riverport","Rentopia",3.9
2090,1,4,4,1,1901,"Terranova","Leaseflow",1.8
2880,1,3,4,1,932,"Riverport","Rentopia",7.4
5510,1,2,5,4,750,"Terranova","Rentopia",1.8
713,1,1,5,4,1387,"Terranova","Rentopia",9.1
2410,1,1,5,3,1423,"Riverport","Rentopia",3.3
1530,2,2,2,1,1005,"Terranova","Rentopia",1.9
816,2,1,3,1,648,"Terranova","Leaseflow",7.5
2370,4,1,3,4,664,"Blossomville","Rentopia",0.7
600,1,2,3,1,550,"Terranova","Leaseflow",13.2
2550,1,3,4,2,634,"Riverport","Rentopia",6.7
3780,1,2,2,4,833,"Terranova","Leaseflow",2.1
1670,1,1,3,1,613,"Terranova","Rentopia",2.5
930,3,2,3,2,646,"Riverport","Rentopia",13.8
2610,1,5,10,1,1303,"Blossomville","Leaseflow",1.3
1860,3,1,3,1,1340,"Terranova","Rentopia",8
3570,1,2,2,4,643,"Terranova","Rentopia",5
2100,1,1,3,1,512,"Terranova","Leaseflow",2.6
2540,2,1,1,4,1741,"Blossomville","Leaseflow",0.2
2740,3,1,1,1,1861,"Blossomville","Leaseflow",5.4
1300,1,4,8,3,646,"Terranova","Leaseflow",8.5
2440,1,2,2,1,660,"Riverport","Rentopia",3.9
567,3,1,2,1,690,"Blossomville","Leaseflow",10
5240,1,6,6,3,649,"Blossomville","Rentopia",0.6
2460,4,1,8,2,720,"Riverport","Rentopia",3.1
1820,1,1,3,1,1780,"Terranova","Rentopia",1.8
3740,2,2,5,4,1160,"Riverport","Rentopia",4.1
1360,2,1,2,2,2101,"Blossomville","Leaseflow",6.1
1960,1,3,4,2,1293,"Blossomville","Rentopia",5.8
1910,3,3,4,1,2004,"Riverport","Rentopia",4.3
949,1,2,5,1,665,"Blossomville","Rentopia",5.1
1640,4,2,3,1,1276,"Riverport","Rentopia",5.5
2480,1,4,4,1,651,"Terranova","Leaseflow",1.8
2800,1,2,3,2,1602,"Riverport","Rentopia",2.1
2270,1,1,1,1,1073,"Blossomville","Rentopia",1.6
1910,2,6,7,1,1259,"Riverport","Leaseflow",1.7
1790,1,4,8,1,886,"Terranova","Rentopia",5.4
2250,2,3,5,1,1969,"Blossomville","Leaseflow",3.1
1540,1,1,3,1,509,"Terranova","Leaseflow",7.3
1270,4,4,4,1,663,"Blossomville","Rentopia",4.5
3100,4,1,3,1,1589,"Riverport","Rentopia",10.7
1450,1,3,4,2,1445,"Blossomville","Rentopia",2.7
2910,1,2,4,1,1126,"Terranova","Leaseflow",1.3
3590,1,2,4,2,2296,"Riverport","Leaseflow",4.7
1770,3,1,2,1,1827,"Blossomville","Rentopia",3.6
573,4,2,10,2,652,"Terranova","Rentopia",4.4
840,3,3,5,1,1198,"Terranova","Rentopia",10.9
2330,2,1,3,1,2239,"Blossomville","Rentopia",3.1
1240,1,2,2,1,630,"Riverport","Rentopia",9.4
1390,4,3,3,1,1267,"Terranova","Rentopia",6
4690,1,1,5,2,1409,"Riverport","Leaseflow",2.9
2370,2,1,2,1,1410,"Terranova","Rentopia",1.1
1730,4,1,5,1,1455,"Terranova","Rentopia",2.5
3680,1,4,5,2,1491,"Terranova","Leaseflow",1.9
1920,2,1,2,1,1316,"Terranova","Rentopia",4
1560,1,1,3,1,650,"Blossomville","Rentopia",0.4
1800,1,2,5,1,1350,"Terranova","Rentopia",0.1
2700,1,3,4,1,2235,"Terranova","Rentopia",3.1
6480,1,1,4,3,1627,"Terranova","Leaseflow",1.3
1710,1,2,4,1,1443,"Terranova","Rentopia",7.1
805,2,2,5,1,1711,"Riverport","Rentopia",7
1900,2,1,3,1,655,"Riverport","Rentopia",1.3
1710,2,1,2,1,1290,"Terranova","Rentopia",2.4
2090,1,5,6,1,670,"Blossomville","Leaseflow",4.8
1280,4,1,2,3,664,"Terranova","Rentopia",8.6
2030,4,1,2,1,568,"Blossomville","Rentopia",3.8
1660,1,4,5,1,692,"Riverport","Leaseflow",1.6
2700,4,4,4,2,847,"Riverport","Rentopia",1.9
1900,1,4,4,1,1055,"Terranova","Leaseflow",3.9
2120,2,10,10,1,515,"Riverport","Rentopia",4.7
2780,1,1,5,1,1853,"Riverport","Leaseflow",4.3
2500,1,1,3,1,1136,"Riverport","Rentopia",1.3
2010,3,3,5,1,673,"Riverport","Rentopia",5.7
2390,2,5,5,1,1871,"Riverport","Rentopia",0.6
2400,1,1,2,1,640,"Blossomville","Leaseflow",4.3
1350,3,2,5,1,1129,"Blossomville","Leaseflow",7
1370,3,1,2,1,644,"Blossomville","Leaseflow",5
1700,1,6,6,2,1084,"Terranova","Rentopia",5.7
1740,1,1,4,1,707,"Riverport","Rentopia",1.6
2500,2,3,3,2,931,"Blossomville","Rentopia",1.1
1000,2,6,10,1,825,"Blossomville","Leaseflow",5.7
3070,2,1,3,1,3213,"Blossomville","Rentopia",3
2570,1,5,5,2,1420,"Terranova","Rentopia",1.1
2420,4,3,3,3,2130,"Blossomville","Rentopia",5.2
2460,2,1,4,1,1485,"Riverport","Rentopia",2
1640,4,2,4,4,1415,"Terranova","Leaseflow",2.4
726,3,1,2,1,621,"Terranova","Rentopia",4.2
4570,1,1,3,4,1597,"Blossomville","Leaseflow",6.3
2290,1,5,8,1,1781,"Riverport","Rentopia",4.1
2940,1,1,1,1,1904,"Blossomville","Rentopia",4.7
1010,2,1,1,1,3254,"Terranova","Rentopia",3.5
4210,1,4,7,2,1953,"Riverport","Leaseflow",7.6
1690,4,1,3,2,1924,"Blossomville","Rentopia",8.5
2280,3,2,3,3,905,"Riverport","Leaseflow",4.4
551,2,1,2,2,1160,"Terranova","Leaseflow",5.6
3450,1,1,2,2,1675,"Blossomville","Rentopia",5.8
3030,1,2,4,1,880,"Riverport","Rentopia",3.9
2440,1,1,3,1,646,"Riverport","Rentopia",5.5
2300,3,5,6,1,1641,"Riverport","Rentopia",3
1860,4,4,9,1,1846,"Riverport","Rentopia",3.7
3370,1,2,4,1,1687,"Riverport","Leaseflow",2.1
2820,1,2,5,1,772,"Riverport","Leaseflow",1.6
1150,1,4,5,2,653,"Riverport","Rentopia",7.6
1800,3,2,4,1,644,"Blossomville","Rentopia",2.6
2170,1,2,4,1,1703,"Blossomville","Rentopia",5.6
1130,1,1,1,1,966,"Blossomville","Leaseflow",2.6
1990,1,1,2,1,993,"Blossomville","Rentopia",3.6
933,3,2,5,1,1292,"Terranova","Rentopia",4.1
1910,4,2,7,1,1773,"Terranova","Rentopia",9.5
1440,2,1,3,1,1189,"Blossomville","Rentopia",6.2
6650,1,2,3,4,1567,"Riverport","Rentopia",0.3
1550,2,1,9,1,1574,"Blossomville","Leaseflow",5.3
954,3,5,5,1,689,"Terranova","Rentopia",6.6
1790,2,2,3,1,1195,"Blossomville","Leaseflow",3.6
1520,3,1,4,1,692,"Terranova","Rentopia",1.9
1360,2,3,8,1,2094,"Riverport","Rentopia",5
919,3,1,1,1,1113,"Terranova","Leaseflow",1.1
507,4,5,5,1,935,"Blossomville","Leaseflow",10.5
1320,2,1,4,1,1388,"Blossomville","Rentopia",5.5
1480,3,5,5,1,994,"Riverport","Rentopia",1.4
1950,1,1,2,2,617,"Terranova","Rentopia",8.5
1330,4,1,2,1,817,"Terranova","Rentopia",1.4
1390,1,1,2,1,1293,"Terranova","Leaseflow",6.9
3310,2,1,1,4,1177,"Blossomville","Rentopia",1.2
2120,3,4,5,1,1560,"Blossomville","Rentopia",3.6
3470,1,2,2,1,2299,"Riverport","Rentopia",4.7
2330,1,1,4,2,1694,"Blossomville","Rentopia",4.4
2360,2,3,5,1,2050,"Terranova","Leaseflow",3.8
1330,3,3,4,1,1068,"Terranova","Leaseflow",5
2280,1,4,5,1,647,"Riverport","Rentopia",1.8
4350,2,1,1,4,657,"Riverport","Rentopia",5.3
3330,1,1,3,1,1552,"Riverport","Rentopia",4
2090,3,1,2,2,1349,"Riverport","Leaseflow",6.3
3950,1,1,1,2,1479,"Blossomville","Leaseflow",3
1350,2,4,4,1,1058,"Terranova","Rentopia",6.4
1650,4,7,9,3,1892,"Terranova","Leaseflow",5
1340,1,1,4,1,1415,"Terranova","Rentopia",10.3
3450,2,4,4,3,1124,"Terranova","Rentopia",1
2060,4,1,2,2,1528,"Blossomville","Leaseflow",2.7
2570,2,1,4,1,2850,"Terranova","Rentopia",1.7
519,4,1,2,1,1625,"Riverport","Rentopia",15.1
2280,3,5,9,3,983,"Blossomville","Leaseflow",2.9
4740,1,1,1,3,1399,"Riverport","Leaseflow",1.8
2260,2,5,7,2,651,"Blossomville","Leaseflow",2.1
2350,1,3,4,1,1286,"Blossomville","Rentopia",5.8
1680,3,2,3,1,2371,"Blossomville","Leaseflow",4.1
1690,1,1,2,1,1675,"Blossomville","Leaseflow",11
1270,2,1,1,1,1109,"Blossomville","Rentopia",1.5
1960,3,1,6,1,978,"Blossomville","Rentopia",1.4
1830,2,2,6,2,584,"Terranova","Rentopia",1
922,2,1,2,1,1001,"Blossomville","Rentopia",3.1
1670,4,2,2,1,1181,"Blossomville","Rentopia",7.1
1970,3,1,3,1,1233,"Riverport","Rentopia",2.6
1280,4,1,4,2,924,"Blossomville","Rentopia",3.1
1970,3,1,3,3,1112,"Riverport","Rentopia",5.8
2360,3,2,6,1,917,"Riverport","Rentopia",3.4
4320,1,3,4,3,1099,"Blossomville","Leaseflow",7.3
1480,3,1,4,1,785,"Terranova","Rentopia",1.5
1430,4,1,2,1,1754,"Riverport","Rentopia",3
4270,1,1,3,3,1189,"Terranova","Rentopia",1.6
1970,2,8,9,4,593,"Riverport","Rentopia",6.2
2210,3,8,9,1,1175,"Riverport","Leaseflow",3.5
2020,2,1,2,1,1011,"Terranova","Leaseflow",0.8
2570,1,1,2,1,2291,"Terranova","Rentopia",0.9
2560,1,3,4,1,1388,"Blossomville","Rentopia",2.5
1160,4,5,5,1,1086,"Riverport","Leaseflow",5.7
2130,3,2,4,1,809,"Blossomville","Leaseflow",1.4
1670,3,2,6,1,1434,"Terranova","Rentopia",2.3
836,1,1,2,1,826,"Terranova","Leaseflow",3.5
1760,3,4,5,1,706,"Riverport","Leaseflow",0.7
2030,4,1,2,2,1935,"Terranova","Rentopia",0.7
3570,1,1,7,4,741,"Terranova","Rentopia",6.4
2390,1,3,3,1,653,"Riverport","Leaseflow",3.4
2750,1,1,4,4,1757,"Terranova","Leaseflow",7.7
2170,3,1,3,1,1155,"Blossomville","Rentopia",2.2
2890,1,1,3,1,596,"Blossomville","Rentopia",4.4
1580,2,2,4,1,2171,"Blossomville","Rentopia",5
2490,4,3,4,4,829,"Riverport","Rentopia",2.2
2220,1,2,6,2,1646,"Riverport","Rentopia",4.5
1940,3,2,4,1,1845,"Riverport","Rentopia",1.2
2190,1,2,6,1,598,"Blossomville","Leaseflow",5.8
3860,1,1,8,3,1590,"Riverport","Rentopia",1.5
1920,2,1,3,1,634,"Terranova","Rentopia",0.5
2570,2,2,2,1,654,"Riverport","Rentopia",2.6
2510,1,2,4,1,633,"Blossomville","Leaseflow",2
1580,3,2,4,1,1555,"Blossomville","Rentopia",10.4
1720,2,1,5,1,1314,"Blossomville","Rentopia",4.7
2190,2,1,2,1,1625,"Riverport","Leaseflow",1
1320,1,2,4,1,1806,"Terranova","Leaseflow",4.4
4800,1,1,2,4,1603,"Riverport","Rentopia",3.2
3280,1,1,1,2,1268,"Riverport","Rentopia",1.2
3270,3,1,1,4,944,"Blossomville","Rentopia",1.6
1800,1,3,4,1,646,"Terranova","Rentopia",4.7
783,2,6,10,3,1256,"Riverport","Rentopia",13.4
858,3,8,9,2,811,"Riverport","Rentopia",12.9
2560,1,1,2,1,2217,"Terranova","Rentopia",2
2120,4,2,4,1,1794,"Blossomville","Rentopia",2.5
2580,4,4,4,1,2096,"Riverport","Leaseflow",2.5
2650,3,3,6,1,2245,"Blossomville","Leaseflow",0.5
1770,1,7,7,1,1157,"Blossomville","Leaseflow",4.1
5730,1,1,4,3,1638,"Terranova","Rentopia",2.8
583,1,1,1,1,1231,"Blossomville","Leaseflow",10
2130,3,2,4,1,1816,"Riverport","Leaseflow",0.9
2100,3,1,2,3,656,"Terranova","Rentopia",3.7
2780,1,1,6,2,630,"Terranova","Rentopia",3.3
2730,1,5,10,1,1199,"Blossomville","Leaseflow",4
1220,3,1,4,1,1198,"Blossomville","Rentopia",2.2
1090,2,1,1,1,1389,"Riverport","Leaseflow",11.5
1090,1,4,5,2,1302,"Riverport","Leaseflow",6.3
2440,1,7,10,2,1404,"Terranova","Rentopia",6.4
4700,1,5,5,4,1560,"Riverport","Rentopia",6.2
1450,2,2,4,1,1249,"Riverport","Rentopia",2.1
2720,1,6,10,1,1529,"Terranova","Leaseflow",2.8
3530,1,2,4,2,1686,"Terranova","Rentopia",1.2
1990,1,3,5,1,647,"Blossomville","Rentopia",3.5
2750,1,4,5,1,1351,"Riverport","Rentopia",1.2
2290,1,4,5,2,559,"Riverport","Rentopia",4.3
1390,4,2,3,1,860,"Blossomville","Rentopia",2.2
1400,2,4,5,1,1391,"Riverport","Rentopia",7.3
2200,4,3,4,1,1213,"Riverport","Rentopia",0.6
2000,1,1,2,1,657,"Blossomville","Leaseflow",8.5
1530,2,2,8,1,648,"Riverport","Rentopia",3.4
2490,1,1,1,1,2030,"Terranova","Rentopia",5.8
1520,3,1,1,1,669,"Blossomville","Rentopia",2.3
1090,1,1,3,1,646,"Terranova","Rentopia",6.1
1640,2,1,1,1,928,"Riverport","Rentopia",4
1780,1,1,4,1,1224,"Terranova","Rentopia",4.3
1580,2,1,3,1,1613,"Blossomville","Rentopia",3.6
1930,1,1,2,1,1088,"Blossomville","Leaseflow",4.1
911,4,2,5,1,655,"Riverport","Leaseflow",9.7
1430,3,1,3,1,631,"Blossomville","Rentopia",6.6
3280,2,1,6,4,1222,"Blossomville","Leaseflow",2.6
2620,2,3,4,1,1358,"Riverport","Rentopia",5.1
2890,3,6,6,1,1678,"Riverport","Rentopia",2.5
2590,2,3,6,1,1204,"Riverport","Rentopia",0.4
3150,2,2,2,1,1394,"Riverport","Rentopia",1.1
1600,3,3,4,1,1312,"Riverport","Leaseflow",9.6
3090,2,1,2,4,635,"Blossomville","Rentopia",0.5
3530,1,7,7,1,2595,"Terranova","Leaseflow",3
2160,1,1,2,1,1710,"Terranova","Leaseflow",6.9
813,3,5,5,1,1649,"Terranova","Rentopia",14.4
1760,3,3,5,1,808,"Terranova","Leaseflow",2.4
1920,4,1,3,1,1548,"Blossomville","Rentopia",1.8
1350,4,3,4,1,829,"Blossomville","Leaseflow",1.2
2100,4,1,2,1,639,"Riverport","Leaseflow",3.1
6370,1,1,1,4,1222,"Riverport","Rentopia",0.2
1530,1,3,4,2,1327,"Terranova","Rentopia",21
3880,1,1,4,3,665,"Terranova","Rentopia",3.8
3160,1,1,3,1,2159,"Terranova","Leaseflow",4.3
2760,1,1,5,1,1922,"Blossomville","Rentopia",2.9
2730,4,2,2,1,1099,"Riverport","Rentopia",1
2300,1,1,3,1,901,"Blossomville","Rentopia",2.5
2800,1,1,2,1,919,"Blossomville","Rentopia",1.1
1570,1,1,2,1,624,"Blossomville","Leaseflow",5.4
1920,2,3,4,1,1336,"Terranova","Rentopia",2.6
2210,4,1,2,1,1781,"Riverport","Leaseflow",9.6
2170,4,1,2,1,2031,"Riverport","Rentopia",3.1
2100,1,3,4,3,1838,"Riverport","Rentopia",8.1
1300,2,1,2,2,2270,"Terranova","Rentopia",14.1
2440,1,1,2,1,1691,"Riverport","Leaseflow",2.6
1740,3,2,4,1,988,"Blossomville","Rentopia",3
2240,1,3,4,1,861,"Blossomville","Leaseflow",5.8
2830,2,1,2,2,2266,"Terranova","Rentopia",5.3
3470,2,5,5,1,1179,"Blossomville","Rentopia",3
2910,2,2,2,2,1370,"Terranova","Rentopia",4.7
2960,1,1,1,3,1203,"Blossomville","Rentopia",5.3
3660,1,2,5,1,3000,"Terranova","Rentopia",2.4
1470,1,3,5,1,1096,"Terranova","Rentopia",4.4
2340,3,9,10,1,1373,"Riverport","Rentopia",1.5
1630,3,1,2,1,1281,"Blossomville","Rentopia",3
1960,1,1,3,2,2071,"Blossomville","Rentopia",4.5
1150,3,2,3,2,726,"Riverport","Leaseflow",6.6
1410,1,1,1,1,538,"Blossomville","Rentopia",1.8
1930,4,2,3,1,1828,"Blossomville","Leaseflow",1.2
1710,2,1,5,4,741,"Terranova","Leaseflow",9.1
1290,1,1,3,1,1622,"Terranova","Rentopia",3.2
6680,1,7,7,3,2121,"Terranova","Leaseflow",0.2
3230,2,6,7,4,1080,"Blossomville","Rentopia",5
4460,2,1,2,4,2085,"Blossomville","Rentopia",3
2480,2,2,4,2,2083,"Blossomville","Rentopia",7.1
1690,3,1,3,1,2274,"Riverport","Rentopia",10.6
3440,1,7,7,1,1078,"Riverport","Rentopia",1.9
2560,1,1,1,1,2804,"Terranova","Rentopia",1.1
1220,3,10,10,1,1502,"Terranova","Leaseflow",2.9
2140,2,2,3,3,657,"Terranova","Rentopia",3.5
2070,1,3,4,1,506,"Riverport","Rentopia",5.6
3330,1,3,4,2,1253,"Riverport","Rentopia",3.6
2850,1,1,4,1,648,"Blossomville","Rentopia",2.8
2340,1,1,1,1,897,"Riverport","Leaseflow",3
3000,3,7,7,1,1199,"Blossomville","Leaseflow",3.3
2340,3,2,3,1,1704,"Riverport","Rentopia",3.3
1180,2,3,10,1,1663,"Riverport","Leaseflow",2.9
2880,1,1,5,3,1253,"Blossomville","Rentopia",10.2
1990,1,1,2,1,606,"Riverport","Rentopia",2.5
1940,3,4,8,1,1370,"Riverport","Leaseflow",1.5
2310,2,1,3,3,1076,"Terranova","Rentopia",2.9
3030,1,2,3,2,1013,"Blossomville","Rentopia",1.5
2080,1,4,5,1,1832,"Blossomville","Leaseflow",1.1
2030,1,2,3,2,521,"Riverport","Leaseflow",4.1
3030,4,1,2,1,2001,"Riverport","Rentopia",0.6
2600,1,2,3,1,928,"Terranova","Rentopia",1.9
1290,4,1,2,1,1368,"Blossomville","Rentopia",7
1490,1,2,3,1,1793,"Terranova","Leaseflow",4.1
1320,2,2,3,1,1222,"Terranova","Rentopia",2.6
1560,3,1,3,1,661,"Blossomville","Leaseflow",4.3
2830,1,4,6,2,810,"Blossomville","Rentopia",2.8
2430,1,1,3,1,1074,"Riverport","Rentopia",4.3
1050,3,1,1,4,1206,"Blossomville","Leaseflow",6
2260,1,2,3,1,1127,"Blossomville","Rentopia",1.4
3270,1,3,6,4,616,"Riverport","Rentopia",4.3
641,1,1,5,1,677,"Blossomville","Rentopia",4.8
2340,3,1,3,2,638,"Blossomville","Rentopia",2.3
2340,1,1,4,2,826,"Blossomville","Rentopia",8.9
1500,2,3,5,1,634,"Blossomville","Rentopia",1.1
2690,2,1,1,1,1414,"Terranova","Rentopia",1.3
1730,1,2,3,1,745,"Blossomville","Rentopia",6
1320,3,1,2,1,1525,"Blossomville","Leaseflow",13.7
2990,3,1,4,1,2451,"Riverport","Rentopia",3.2
3010,1,1,5,1,2010,"Riverport","Leaseflow",2
3180,1,2,2,2,634,"Terranova","Rentopia",2.1
1740,2,1,3,1,661,"Terranova","Rentopia",4
1580,2,2,4,1,1455,"Riverport","Rentopia",2.8
1970,1,1,1,1,529,"Terranova","Leaseflow",1.3
3900,2,2,5,1,2285,"Riverport","Rentopia",4.5
3100,1,4,5,2,742,"Riverport","Rentopia",5.6
2470,1,1,2,1,805,"Riverport","Rentopia",1
961,3,1,3,1,886,"Terranova","Leaseflow",2
1450,2,1,3,1,922,"Blossomville","Rentopia",3.4
2190,4,1,3,2,838,"Riverport","Rentopia",4.6
1920,4,1,3,1,1517,"Blossomville","Rentopia",4.3
